27-Co-59(n,&gamma;) ENDF/B-VII.1
17407.7,0.0100106
17467.9,0.00816241
17528.2,0.00683984
17597.0,0.00574523
17683.1,0.00477936
17786.4,0.00398061
17906.8,0.00335363
18044.5,0.00288124
18190.8,0.00255899
18362.9,0.00233389
18449.0,0.00228785
18513.5,0.00234531
18545.8,0.00243484
18567.3,0.00257538
18585.6,0.00277866
18600.5,0.00310415
18611.1,0.00350631
18620.5,0.00408058
18626.7,0.00470101
18632.2,0.00552408
18636.7,0.00653449
18640.5,0.00775646
18643.9,0.00940458
18646.7,0.0113799
18649.0,0.0137472
18651.1,0.0166987
18652.6,0.0199559
18653.9,0.0236571
18655.0,0.028304
18655.8,0.0334948
18656.7,0.0410745
18657.5,0.0508139
18658.1,0.0627801
18658.8,0.0780404
18659.4,0.0994656
18660.1,0.128461
18660.7,0.167235
18661.4,0.218262
18662.1,0.286487
18662.8,0.373244
18663.5,0.495993
18664.5,0.695585
18665.7,0.991419
18668.5,1.77075
18669.7,2.00065
18670.9,2.10028
18671.1,2.10134
18672.2,2.03044
18673.3,1.83671
18675.1,1.37137
18677.0,0.839296
18678.1,0.595461
18678.9,0.433586
18679.7,0.320729
18680.5,0.23901
18681.1,0.182576
18681.7,0.142376
18682.4,0.109824
18683.1,0.0856652
18683.7,0.0679005
18684.4,0.0538677
18685.2,0.0438639
18686.0,0.0358029
18686.8,0.0301297
18687.7,0.0256549
18688.8,0.02161
18690.3,0.0180738
18692.0,0.015093
18694.1,0.01258
18696.5,0.010451
18699.7,0.00854665
18703.2,0.00714767
18706.6,0.00615996
18711.2,0.00523603
18716.9,0.00446214
